Player,Pos,G,MP,X3P.,eFG.,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,USG.,WS,WS.48,BPM,VORP,TeamTotalPoints,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
Tyrese Maxey,SG,61,935,0.301,0.498,0.871,11,93,104,120,26,13,41,79,488,14.5,0.531,23,1.9,0.099,-1.5,0.1,8182,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Skylar Mays,SG,33,269,0.35,0.52,0.88,10,25,35,30,14,2,9,15,124,16.8,0.569,19.1,0.8,0.14,1.9,0.3,8186,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Patrick McCaw,SF,5,33,0,1,1,1,2,3,4,2,0,0,6,5,12,1.078,3,0.1,0.209,0.9,0,8011,200,250,80,2,3,2,-4,3,3.5,4,4,-3
CJ McCollum,SG,47,1600,0.402,0.554,0.812,30,155,185,223,44,21,65,87,1087,20.8,0.577,27.1,4.7,0.141,3.9,2.4,8360,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
T.J. McConnell,PG,69,1796,0.313,0.574,0.688,55,201,256,456,128,23,135,113,596,16.9,0.583,15.3,4.8,0.128,1.4,1.5,8302,200,300,100,1,4,2,-5,2,3,5,3,-3
Jaden McDaniels,PF,63,1511,0.364,0.545,0.6,52,180,232,71,35,60,47,172,427,8.9,0.552,12,1.4,0.046,-3.5,-0.6,8073,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Jalen McDaniels,SF,47,904,0.333,0.53,0.703,45,124,169,53,28,19,45,95,346,11.4,0.554,17,1.2,0.062,-3.2,-0.3,7881,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Doug McDermott,PF,66,1619,0.388,0.616,0.816,60,161,221,85,20,6,53,117,899,15.6,0.635,20,3.8,0.112,-0.6,0.6,8302,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Sean McDermott,SF,18,158,0.227,0.47,1,6,13,19,4,2,3,4,8,39,7.2,0.534,10.8,0.2,0.05,-4.3,-0.1,8157,200,250,80,2,3,2,-4,3,3.5,4,4,-3
JaVale McGee,C,46,678,0.208,0.52,0.657,77,162,239,39,19,54,60,121,337,17,0.541,23.9,1,0.068,-2.5,-0.1,7476,200,200,60,3,2,2,-3,4,4,3,5,-3
Rodney McGruder,SG,16,194,0.458,0.607,0.75,8,14,22,16,8,1,7,12,91,16.1,0.619,18.1,0.5,0.121,0.7,0.1,7676,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Alfonzo McKinnie,SF,39,258,0.41,0.602,0.556,22,32,54,6,7,0,5,26,122,15.5,0.604,17.8,0.8,0.156,-0.4,0.1,7887,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jordan McLaughlin,PG,51,938,0.359,0.481,0.767,21,87,108,193,51,6,51,44,256,12,0.502,13.7,1.2,0.062,-1.7,0.1,8073,200,300,100,1,4,2,-5,2,3,5,3,-3
Ben McLemore,SG,53,905,0.346,0.503,0.736,15,85,100,39,23,9,42,88,406,8.5,0.523,20.4,0.2,0.013,-3.9,-0.4,7833,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Nicolò Melli,PF,45,566,0.271,0.408,0.76,29,93,122,44,14,3,12,58,134,7.9,0.441,12.5,0.6,0.048,-3.5,-0.2,8096,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
De'Anthony Melton,PG,52,1045,0.412,0.548,0.804,30,131,161,132,60,31,66,85,472,15.2,0.568,19.5,2.2,0.103,2.3,1.1,8157,200,300,100,1,4,2,-5,2,3,5,3,-3
Sam Merrill,SG,30,233,0.447,0.59,1,6,24,30,21,8,1,10,17,89,11.9,0.603,15,0.5,0.102,-1,0.1,8649,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Chimezie Metu,C,36,488,0.351,0.545,0.721,31,81,112,28,14,18,29,59,226,14.5,0.571,20,0.6,0.061,-3.6,-0.2,8189,200,200,60,3,2,2,-3,4,4,3,5,-3
Khris Middleton,SF,68,2269,0.414,0.546,0.898,54,352,406,370,74,9,178,160,1385,18.2,0.588,25,6.4,0.135,1.3,1.9,8649,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Darius Miller,SF,18,197,0.405,0.635,1,2,22,24,21,13,5,8,13,73,15.9,0.685,13.2,0.6,0.156,3.6,0.3,7560,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Patty Mills,PG,68,1685,0.375,0.544,0.91,18,98,116,162,42,3,66,81,736,11.8,0.57,18.4,2.2,0.062,-1.2,0.4,7998,200,300,100,1,4,2,-5,2,3,5,3,-3
Paul Millsap,PF,56,1162,0.343,0.537,0.724,76,186,262,98,51,36,51,111,502,16.4,0.565,18.6,3.2,0.133,1,0.9,8284,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Shake Milton,SG,63,1461,0.35,0.503,0.83,33,115,148,193,39,18,103,130,817,14.6,0.549,24.9,2.8,0.091,-1.6,0.1,8182,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Donovan Mitchell,PG,53,1771,0.386,0.52,0.845,50,185,235,277,52,15,147,117,1401,21.3,0.569,33.5,6.2,0.167,4.3,2.8,8382,200,300,100,1,4,2,-5,2,3,5,3,-3
Adam Mokoka,SG,14,56,0.1,0.395,0,1,4,5,5,2,1,5,5,15,2.2,0.386,18.9,-0.1,-0.112,-9.3,-0.1,7969,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Malik Monk,SG,42,878,0.401,0.54,0.819,14,87,101,87,19,4,55,47,490,13.6,0.569,23.8,1,0.054,-1.8,0,7881,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
E'Twaun Moore,SG,27,389,0.314,0.5,0.857,14,31,45,40,15,5,23,32,133,10.4,0.523,17.2,0.4,0.049,-2.9,-0.1,8300,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Ja Morant,PG,63,2053,0.303,0.487,0.728,59,193,252,465,57,13,203,87,1204,16.7,0.537,27.2,3.2,0.074,-0.4,0.8,8157,200,300,100,1,4,2,-5,2,3,5,3,-3
Juwan Morgan,PF,29,147,0.308,0.533,0.429,9,19,28,9,4,1,4,21,35,8.5,0.529,10.9,0.3,0.105,-2.3,0,8382,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Marcus Morris,PF,57,1502,0.473,0.592,0.82,35,199,234,58,34,15,57,117,765,14.5,0.614,20.1,3.6,0.115,0,0.8,8209,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Markieff Morris,PF,61,1200,0.311,0.491,0.72,48,218,266,73,22,19,54,105,407,9.3,0.509,16.4,1.6,0.062,-2.6,-0.2,7887,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Monte Morris,PG,47,1196,0.381,0.547,0.795,11,85,96,150,34,13,34,48,481,14,0.574,16.5,2.9,0.115,-0.3,0.5,8284,200,300,100,1,4,2,-5,2,3,5,3,-3
Mychal Mulder,PG,60,766,0.397,0.609,0.636,8,52,60,26,12,12,16,56,337,10.8,0.613,16.2,1.2,0.075,-1.8,0,8187,200,300,100,1,4,2,-5,2,3,5,3,-3
Dejounte Murray,PG,67,2139,0.317,0.485,0.791,58,415,473,363,101,7,117,135,1051,16.5,0.509,23.4,3.3,0.074,0.8,1.5,7998,200,300,100,1,4,2,-5,2,3,5,3,-3
Jamal Murray,PG,48,1704,0.408,0.559,0.869,37,157,194,231,64,13,108,95,1018,18.3,0.592,24.8,4.6,0.129,2,1.7,8284,200,300,100,1,4,2,-5,2,3,5,3,-3
Mike Muscala,C,35,645,0.37,0.573,0.917,19,113,132,28,8,11,21,54,339,14.7,0.599,20,1.3,0.096,-0.1,0.3,7560,200,200,60,3,2,2,-3,4,4,3,5,-3
Svi Mykhailiuk,SF,66,1324,0.334,0.515,0.76,24,139,163,110,51,12,88,63,559,10.4,0.529,20,0.3,0.01,-2.6,-0.2,7676,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Abdel Nader,SF,24,355,0.419,0.569,0.757,7,55,62,19,10,9,19,34,160,13.4,0.605,19,0.7,0.095,0,0.2,8300,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Larry Nance Jr.,PF,35,1091,0.36,0.546,0.612,54,181,235,107,61,17,55,72,327,13.2,0.557,13.9,1.8,0.08,0.4,0.7,7476,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Aaron Nesmith,SF,46,669,0.37,0.551,0.786,28,99,127,23,15,9,23,87,218,9.4,0.573,13.7,1.1,0.076,-3.2,-0.2,8109,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Raul Neto,PG,64,1403,0.39,0.539,0.882,28,128,156,146,73,6,53,109,557,13,0.575,15.8,2.8,0.097,-0.6,0.5,8398,200,300,100,1,4,2,-5,2,3,5,3,-3
Georges Niang,PF,72,1154,0.425,0.59,0.957,28,148,176,59,25,8,51,116,500,11.4,0.602,17.4,2.6,0.108,-0.3,0.5,8382,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Zeke Nnaji,PF,42,397,0.407,0.596,0.8,14,51,65,10,8,4,7,29,136,11.3,0.615,12.9,0.9,0.104,-1.7,0,8284,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Nerlens Noel,C,64,1547,0,0.614,0.714,142,266,408,46,70,141,65,176,324,14.8,0.638,9.2,5.2,0.162,1.4,1.3,7706,200,200,60,3,2,2,-3,4,4,3,5,-3
Jaylen Nowell,SG,42,759,0.333,0.499,0.818,19,76,95,62,22,12,28,72,379,12.3,0.528,21.4,0.7,0.044,-2.8,-0.2,8073,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Frank Ntilikina,PG,33,322,0.479,0.513,0.444,6,25,31,19,18,4,11,45,89,7.7,0.512,13.6,0.5,0.07,-1.7,0,7706,200,300,100,1,4,2,-5,2,3,5,3,-3
Kendrick Nunn,PG,56,1650,0.381,0.578,0.933,21,158,179,148,52,14,80,108,816,14.2,0.596,20.9,2.9,0.084,-0.5,0.6,7781,200,300,100,1,4,2,-5,2,3,5,3,-3
James Nunnally,SF,9,48,0.333,0.538,0.5,2,7,9,3,0,0,2,1,15,8.3,0.54,13.9,0,0.031,-2.7,0,8251,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jusuf Nurkić,C,37,880,0.4,0.532,0.619,86,246,332,125,38,39,73,103,424,20.5,0.554,22.3,2.4,0.133,2.5,1,8360,200,200,60,3,2,2,-3,4,4,3,5,-3
David Nwaba,SF,30,679,0.27,0.525,0.691,40,78,118,31,30,21,17,60,276,14.4,0.557,16.6,1.3,0.094,-0.8,0.2,7833,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jordan Nwora,SF,30,274,0.452,0.563,0.76,9,51,60,7,16,7,24,22,171,16.1,0.586,26,0.4,0.068,-1.1,0.1,8649,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Royce O'Neale,SF,71,2241,0.385,0.58,0.848,88,397,485,181,57,32,83,182,496,9.9,0.599,9.6,5.6,0.121,1,1.7,8382,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Semi Ojeleye,PF,56,950,0.367,0.534,0.75,31,116,147,37,17,0,21,56,260,8.3,0.553,11.6,1.2,0.063,-2.4,-0.1,8109,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Jahlil Okafor,C,27,347,0.222,0.627,0.708,23,43,66,13,6,5,21,39,145,13.1,0.644,16.8,0.6,0.082,-3.2,-0.1,7676,200,200,60,3,2,2,-3,4,4,3,5,-3
Chuma Okeke,PF,45,1133,0.348,0.492,0.75,42,139,181,101,48,22,38,48,349,11.8,0.511,14.5,1.3,0.056,-1.5,0.1,7488,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Josh Okogie,SG,59,1197,0.269,0.459,0.769,63,93,156,63,54,28,43,123,316,9.1,0.524,12.1,1.3,0.051,-3.3,-0.4,8073,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Onyeka Okongwu,C,50,601,0,0.644,0.632,62,101,163,18,23,33,29,100,228,16.8,0.655,14.7,1.9,0.155,-1.4,0.1,8186,200,200,60,3,2,2,-3,4,4,3,5,-3
Isaac Okoro,SG,67,2173,0.29,0.476,0.726,68,138,206,128,62,24,86,185,646,7.9,0.514,14.3,0.9,0.02,-5.1,-1.7,7476,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
KZ Okpala,PF,37,447,0.24,0.438,0.533,21,47,68,19,10,11,15,59,92,5.2,0.448,11.9,0.1,0.015,-7.1,-0.6,7781,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Victor Oladipo,SG,33,1080,0.326,0.476,0.754,12,148,160,151,46,14,83,81,652,14.3,0.512,28.5,0.4,0.017,-1.7,0.1,7833,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Cameron Oliver,SF,4,87,0.308,0.636,0.25,5,16,21,5,2,4,3,11,43,17.2,0.619,18.5,0.2,0.114,-2,0,7833,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Kelly Olynyk,C,70,1997,0.342,0.574,0.829,87,402,489,203,79,42,126,207,945,16.4,0.61,19.7,5.1,0.121,1.2,1.6,7781,200,200,60,3,2,2,-3,4,4,3,5,-3
Miye Oni,SG,54,519,0.341,0.505,0.833,23,61,84,28,11,8,16,61,105,6.4,0.517,9.8,0.9,0.081,-1.7,0,8382,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Cedi Osman,SF,59,1510,0.306,0.458,0.8,38,163,201,174,53,9,80,119,613,10.3,0.488,20.4,0.5,0.014,-3.2,-0.5,7476,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Daniel Oturu,C,30,161,0.2,0.433,0.75,21,27,48,10,4,7,9,24,54,12.5,0.471,18.2,0.3,0.081,-5.2,-0.1,8209,200,200,60,3,2,2,-3,4,4,3,5,-3
Kelly Oubre Jr.,SF,55,1687,0.316,0.501,0.695,82,247,329,73,57,42,70,121,849,13.3,0.529,22.1,2.2,0.062,-1.9,0,8187,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Jabari Parker,PF,13,165,0.182,0.564,0.769,10,32,42,11,1,5,10,13,72,14.7,0.593,18.5,0.3,0.089,-0.9,0,8109,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Eric Paschall,PF,40,695,0.333,0.527,0.713,28,100,128,51,12,7,43,68,381,13.4,0.561,23.5,0.9,0.062,-2.7,-0.1,8187,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Anžejs Pasečņiks,C,1,6,0,0,0,1,0,1,1,0,0,5,2,0,-40.6,0,41.4,-0.1,-1.113,-46.6,-0.1,8398,200,200,60,3,2,2,-3,4,4,3,5,-3
Patrick Patterson,PF,38,582,0.357,0.558,0.765,19,56,75,29,14,8,11,45,197,10.9,0.571,14,1.2,0.101,-0.6,0.2,8209,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Justin Patton,C,13,247,0.265,0.479,0.75,14,35,49,14,12,14,4,34,70,11.6,0.488,13,0.4,0.076,-2.2,0,7833,200,200,60,3,2,2,-3,4,4,3,5,-3
Chris Paul,PG,70,2199,0.395,0.557,0.934,25,287,312,622,99,19,156,166,1149,21.4,0.599,22.6,9.2,0.201,4.6,3.6,8300,200,300,100,1,4,2,-5,2,3,5,3,-3
Cameron Payne,PG,60,1079,0.44,0.576,0.893,16,128,144,217,36,16,60,97,505,17.4,0.602,19.8,3.6,0.158,3.1,1.4,8300,200,300,100,1,4,2,-5,2,3,5,3,-3
Elfrid Payton,PG,63,1484,0.286,0.455,0.682,64,152,216,203,47,9,103,116,639,11.7,0.478,23.2,1,0.032,-3,-0.4,7706,200,300,100,1,4,2,-5,2,3,5,3,-3
Gary Payton II,PG,10,40,0.5,0.846,0.75,2,9,11,1,6,1,1,8,25,29.2,0.847,16.8,0.3,0.331,9.2,0.1,8187,200,300,100,1,4,2,-5,2,3,5,3,-3
Norvel Pelle,C,13,84,0,0.533,0.667,6,13,19,2,1,9,3,14,20,11.6,0.567,10.8,0.2,0.112,-2.6,0,7706,200,200,60,3,2,2,-3,4,4,3,5,-3
Reggie Perry,PF,26,211,0.19,0.436,0.769,27,46,73,14,6,6,15,40,78,11,0.466,20.4,0.2,0.04,-6.7,-0.2,8537,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Theo Pinson,SG,17,34,0,0.111,0,0,5,5,1,0,0,1,4,2,-8.1,0.111,13.1,-0.1,-0.205,-15.7,-0.1,7706,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Mason Plumlee,C,56,1499,0,0.614,0.669,145,374,519,202,43,50,105,186,581,18.7,0.638,16.3,5.1,0.164,2.2,1.6,7676,200,200,60,3,2,2,-3,4,4,3,5,-3
Jakob Poeltl,C,69,1845,0,0.616,0.508,219,328,547,134,47,123,83,172,593,17.5,0.612,13.4,5.7,0.148,0.8,1.3,7998,200,200,60,3,2,2,-3,4,4,3,5,-3
Vincent Poirier,C,10,39,0,0.25,0.333,6,8,14,2,0,3,4,8,8,1.6,0.273,20.6,-0.1,-0.127,-14.8,-0.1,8182,200,200,60,3,2,2,-3,4,4,3,5,-3
Aleksej Pokusevski,PF,45,1090,0.28,0.412,0.738,30,182,212,97,20,42,99,58,367,6.1,0.43,20.5,-1.9,-0.084,-6.1,-1.1,7560,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Jordan Poole,SG,51,988,0.351,0.535,0.882,15,77,92,99,26,9,51,86,612,15.1,0.581,25,1.9,0.094,-0.5,0.4,8187,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Jontay Porter,PF,11,54,0.375,0.633,0.6,4,10,14,1,3,1,7,12,22,9.2,0.64,18.9,0,0.019,-6.5,-0.1,8157,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Kevin Porter Jr.,SG,26,835,0.311,0.493,0.734,20,79,99,164,19,8,91,61,431,12.5,0.528,25.4,0,0,-3.5,-0.3,7833,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Michael Porter Jr.,SF,61,1912,0.445,0.646,0.791,91,354,445,70,40,54,77,126,1162,20.6,0.663,21.7,6.9,0.173,3.1,2.5,8284,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Otto Porter Jr.,SF,28,606,0.375,0.518,0.857,28,124,152,55,16,4,25,41,271,14.5,0.552,19.3,1.3,0.101,0,0.3,7969,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Bobby Portis,C,66,1372,0.471,0.585,0.74,124,342,466,71,52,26,56,115,754,19.9,0.598,20.9,4.8,0.167,1.5,1.2,8649,200,200,60,3,2,2,-3,4,4,3,5,-3
Kristaps Porziņģis,C,43,1327,0.376,0.547,0.855,82,299,381,68,20,58,51,115,865,21.3,0.582,26.5,4.3,0.154,2.2,1.4,8096,200,200,60,3,2,2,-3,4,4,3,5,-3
Dwight Powell,C,58,966,0.238,0.631,0.782,80,154,234,63,36,30,40,135,342,16.8,0.688,13.2,3.8,0.188,0.6,0.6,8096,200,200,60,3,2,2,-3,4,4,3,5,-3
Norman Powell,SG,69,2205,0.411,0.57,0.871,42,173,215,129,82,18,119,160,1283,16.2,0.618,22.6,4.7,0.103,0.4,1.3,8011,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Taurean Prince,PF,41,905,0.4,0.495,0.855,19,123,142,76,28,23,47,75,389,12.1,0.54,19.6,1,0.052,-1.8,0,7476,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Payton Pritchard,SG,66,1268,0.411,0.562,0.889,33,125,158,120,37,9,53,104,510,12.4,0.582,16.7,2.5,0.095,-0.7,0.4,8109,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Immanuel Quickley,PG,64,1243,0.389,0.497,0.891,25,112,137,127,30,12,58,114,731,15.8,0.557,25.6,3.2,0.125,0.9,0.9,7706,200,300,100,1,4,2,-5,2,3,5,3,-3
Jahmi'us Ramsey,SG,13,94,0.263,0.461,1,2,8,10,6,4,1,3,8,40,10.5,0.498,19.8,0,0.012,-4.5,-0.1,8189,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Chasson Randle,PG,41,837,0.338,0.481,0.792,7,75,82,74,22,5,46,64,266,7.4,0.515,15.7,0,-0.001,-5.9,-0.8,7488,200,300,100,1,4,2,-5,2,3,5,3,-3
Julius Randle,PF,71,2667,0.411,0.516,0.811,84,639,723,427,64,18,241,225,1712,19.7,0.567,29.3,7.8,0.14,3.8,3.9,7706,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Cam Reddish,SF,26,750,0.262,0.428,0.817,22,82,104,35,33,9,34,68,292,9.3,0.488,19.3,0.4,0.026,-3.2,-0.2,8186,200,250,80,2,3,2,-4,3,3.5,4,4,-3
J.J. Redick,SG,44,723,0.371,0.521,0.942,4,60,64,51,11,3,36,50,327,9.9,0.564,19.2,0.7,0.045,-3.5,-0.3,8251,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Paul Reed,PF,26,177,0,0.538,0.5,30,31,61,12,10,13,12,29,88,21.2,0.54,22.7,0.6,0.162,-1,0,8182,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Naz Reid,C,70,1347,0.351,0.576,0.693,82,240,322,72,34,76,69,179,784,18.2,0.599,22.5,3.2,0.113,-0.2,0.6,8073,200,200,60,3,2,2,-3,4,4,3,5,-3
Cameron Reynolds,SF,5,40,0.25,0.417,0,2,3,5,2,0,0,0,2,15,6.5,0.417,19.2,0,-0.039,-8.1,-0.1,7998,200,250,80,2,3,2,-4,3,3.5,4,4,-3
Nick Richards,PF,18,63,0,0.444,0.636,4,7,11,2,0,0,3,7,15,5.5,0.542,11.5,0,0.026,-8,-0.1,7881,200,225,70,2.5,2.5,2,-3.5,3.5,3.75,3.5,4.5,-3
Josh Richardson,SG,59,1790,0.33,0.498,0.917,51,144,195,153,61,24,79,130,715,11.9,0.537,18.4,2.4,0.066,-1.7,0.1,8096,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Grant Riller,PG,7,27,0.5,0.75,0,0,1,1,3,1,0,1,0,18,23.6,0.75,20.7,0.1,0.177,5.1,0,7881,200,300,100,1,4,2,-5,2,3,5,3,-3
Austin Rivers,SG,36,845,0.369,0.537,0.71,8,74,82,81,30,2,36,64,285,9.9,0.551,15.4,1.3,0.072,-1.9,0,7706,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Andre Roberson,SG,5,63,0.125,0.179,0.5,7,8,15,4,3,1,2,4,6,4.2,0.202,11.7,-0.1,-0.043,-6.1,-0.1,8537,200,275,90,1.5,3.5,2,-4.5,2.5,3.25,4.5,3.5,-3
Duncan Robinson,SF,72,2262,0.408,0.614,0.827,7,243,250,127,43,20,81,181,942,11,0.628,16.6,3.7,0.079,-1,0.6,7781,200,250,80,2,3,2,-4,3,3.5,4,4,-3
